GISJOIN,YEAR,ZCTA5A,TOT_POP,WHITE,PER_WH,BLACK,PER_BL,AI,NH,AINH,PER_AINH,ASIAN,PER_ASIAN,RACE_O,RACE_2,RACE_O2,PER_R_O,TOT_POP,HISP,PER_HISP,WORK_POP,CAR,PER_CAR,PUBLIC,PER_PUBLIC,TAXI,PER_TAXI,MOTOR,PER_MOTOR,BIKE,PER_BIKE,WALK,PER_WALK,WORK_O,PER_W_O,WORK_HO,PER_W_H,EDU_POP,K12,PER_K12,HS,PER_HS,SOMCOLL,PER_SCOL,BACHELOR,PER_BAC,GRAD_DEG,PER_GRAD,PER_BGRAD,MED_INC,HOUSE_POP,PUB_AS,PER_PA,RENT_POP,RENT_0,PER_RE0,RENT_10,PER_RE10,RENT_20,PER_RE20,RENT_30,PER_RE30,RENT_40,PER_RE40,RENT_50,PER_RE50,TOT_POP,US_CIT,PER_CIT,NON_CIT,PERNCIT,POV_POP,POV,PER_POV,NO_POV,PER_NPOV,TOT_POP,NO_INS,PER_NINS
G10001,2014-2018,10001,22924,14422,0.629122317,1413,0.061638458,36,20,56,0.002442855,5774,0.251875763,661,598,1259,0.054920607,22924,3246,0.141598325,14265,582,0.040799159,7084,0.49660007,319,0.022362426,0,0,534,0.03743428,4595,0.32211707,232,0.016263582,919,0.064423414,17985,1483,0.082457604,2219,0.123380595,2050,0.113983875,6810,0.378648874,5423,0.301529052,0.680177926,88526,12431,1317,0.105944815,9178,1287,0.140226629,1443,0.157223796,2253,0.245478318,1307,0.142405753,743,0.080954456,1806,0.196774896,22924,19397,0.846143779,3527,0.153856221,21955,2912,0.132634935,19043,0.867365065,22924,988,0.043098936
G10002,2014-2018,10002,74993,24168,0.322270079,6283,0.083781153,680,24,704,0.009387543,31089,0.414558692,9841,2908,12749,0.170002534,74993,20390,0.271892043,32804,2835,0.086422388,17904,0.545787099,371,0.011309596,18,0.000548714,1622,0.04944519,8385,0.255609072,279,0.00850506,1390,0.042372881,59160,20138,0.340398918,11597,0.196027721,7335,0.123985801,12928,0.218526031,7162,0.121061528,0.339587559,35859,33540,11222,0.334585569,29070,1610,0.055383557,4906,0.16876505,6650,0.22875817,5339,0.183660131,2467,0.084864121,6636,0.228276574,74993,62586,0.834557892,12407,0.165442108,74356,20565,0.276574856,53791,0.723425144,74755,4428,0.059233496
G10003,2014-2018,10003,54682,41511,0.759134633,3178,0.058117845,88,55,143,0.00261512,7373,0.134834132,1215,1262,2477,0.04529827,54682,4506,0.082403716,32054,1888,0.058900605,16389,0.511293442,906,0.028264803,54,0.001684657,1379,0.043021152,8673,0.270574655,303,0.009452798,2462,0.076807887,38236,1486,0.038863898,2279,0.059603515,3812,0.099696621,16227,0.424390627,14432,0.377445339,0.801835966,112131,26124,680,0.026029704,17519,1549,0.088418289,4764,0.27193333,3286,0.187567784,2205,0.125863348,1180,0.067355443,3657,0.208744791,54682,47892,0.875827512,6790,0.124172488,45093,3812,0.084536403,41281,0.915463597,54550,2131,0.039065078
G10004,2014-2018,10004,3028,1902,0.628137384,51,0.016842801,0,17,17,0.005614267,922,0.304491413,40,96,136,0.044914135,3028,112,0.036988111,2065,175,0.084745763,1122,0.543341404,16,0.007748184,0,0,6,0.002905569,503,0.243583535,0,0,243,0.117675545,2547,28,0.010993325,55,0.021594032,161,0.063211622,1210,0.475068708,1093,0.429132313,0.904201021,157645,1659,0,0,1024,72,0.0703125,214,0.208984375,369,0.360351563,161,0.157226563,34,0.033203125,124,0.12109375,3028,2465,0.814068692,563,0.185931308,3028,66,0.021796565,2962,0.978203435,3028,149,0.049207398
G10005,2014-2018,10005,8831,6484,0.734231684,221,0.025025478,0,0,0,0,1497,0.169516476,206,423,629,0.071226362,8831,608,0.068848375,6697,121,0.018067792,4209,0.628490369,72,0.010751083,0,0,0,0,2003,0.299089144,0,0,292,0.043601613,6586,51,0.007743699,296,0.04494382,414,0.062860613,3191,0.484512602,2634,0.399939265,0.884451868,173333,4374,8,0.001828989,3515,149,0.042389758,1348,0.383499289,732,0.208250356,332,0.094452347,208,0.059174964,571,0.162446657,8831,7595,0.860038501,1236,0.139961499,8831,840,0.095119466,7991,0.904880534,8831,237,0.026837278
G10006,2014-2018,10006,3454,2411,0.698031268,36,0.010422698,0,0,0,0,687,0.198899826,135,185,320,0.092646207,3454,414,0.119861031,2574,126,0.048951049,1455,0.565268065,16,0.006216006,0,0,32,0.012432012,764,0.296814297,0,0,181,0.07031857,2705,16,0.005914972,27,0.009981516,152,0.056192237,1368,0.505730129,1142,0.422181146,0.927911275,176250,1794,0,0,1488,156,0.10483871,383,0.257392473,332,0.22311828,283,0.190188172,153,0.102822581,121,0.081317204,3454,2911,0.842790967,543,0.157209033,3454,164,0.047481181,3290,0.952518819,3454,72,0.020845397
G10007,2014-2018,10007,7023,5421,0.771892354,332,0.047273245,0,0,0,0,826,0.117613555,139,305,444,0.063220846,7023,580,0.08258579,3813,236,0.061893522,2112,0.553894571,213,0.055861526,0,0,88,0.02307894,974,0.255441909,12,0.003147128,178,0.046682402,5323,392,0.073642683,376,0.070636859,297,0.055795604,2269,0.426263385,1989,0.373661469,0.799924854,246813,2731,75,0.027462468,1763,551,0.312535451,280,0.158820193,402,0.22802042,259,0.146908678,30,0.017016449,198,0.112308565,7023,6073,0.864730172,950,0.135269828,6183,145,0.023451399,6038,0.976548601,6285,41,0.006523469
G10009,2014-2018,10009,57925,35817,0.618334053,5431,0.093759171,71,0,71,0.001225723,7512,0.129684937,7024,2070,9094,0.156996116,57925,14347,0.247682348,31458,1597,0.050766101,18573,0.590406256,680,0.021616123,14,0.000445038,2176,0.069171594,6432,0.204463094,91,0.002892746,1895,0.060239049,45242,5321,0.117611953,6425,0.142014058,6588,0.145616905,17032,0.376464347,9876,0.218292737,0.594757084,61548,29728,5095,0.171387244,27846,1635,0.058715794,6078,0.218271924,6034,0.216691805,4901,0.176003735,2616,0.09394527,5143,0.184694391,57925,51711,0.892723349,6214,0.107276651,57882,13560,0.234269721,44322,0.765730279,57904,3247,0.056075573
G10010,2014-2018,10010,33730,24684,0.731811444,1784,0.052890602,230,0,230,0.006818856,5859,0.173702935,435,738,1173,0.034776164,33730,3703,0.109783575,20577,1133,0.055061476,11437,0.555814745,495,0.024055985,9,0.000437382,752,0.036545658,5268,0.256013996,76,0.003693444,1407,0.068377314,25327,981,0.038733368,2190,0.086468986,2302,0.090891144,9368,0.369881944,10486,0.414024559,0.783906503,117923,16390,974,0.05942648,11739,1577,0.13433853,2806,0.239032286,2543,0.216628333,1147,0.097708493,1173,0.099923332,2057,0.175227873,33730,30160,0.894159502,3570,0.105840498,31076,3952,0.127172094,27124,0.872827906,33550,1196,0.035648286
G10011,2014-2018,10011,50472,40331,0.799076716,2819,0.05585275,56,5,61,0.001208591,4627,0.091674592,878,1756,2634,0.052187351,50472,5704,0.113013156,32943,2077,0.063048296,18205,0.552621194,1034,0.031387548,0,0,867,0.026318186,8222,0.249582612,222,0.006738913,2316,0.070303251,42426,1867,0.044006034,2442,0.057559044,4688,0.110498279,17417,0.410526564,16012,0.377410079,0.787936643,128613,29128,2328,0.079923098,18181,2741,0.150761784,4616,0.253891425,3544,0.194928772,2175,0.119630383,825,0.045377042,3585,0.197183873,50472,44065,0.873058329,6407,0.126941671,49475,5483,0.110823648,43992,0.889176352,50222,1862,0.037075385
G10012,2014-2018,10012,23411,17411,0.743710222,651,0.027807441,42,0,42,0.001794028,4055,0.173209175,254,998,1252,0.053479134,23411,1494,0.063816155,14604,675,0.046220214,7464,0.511092851,327,0.022391126,0,0,690,0.047247329,4102,0.28088195,89,0.006094221,1257,0.086072309,18431,937,0.050838262,1260,0.068363084,1404,0.076176008,8203,0.445065379,6627,0.359557268,0.804622647,109037,12041,580,0.048168757,9870,1101,0.111550152,2359,0.239007092,2167,0.219554205,1250,0.126646403,795,0.080547112,1802,0.182573455,23411,19864,0.848490026,3547,0.151509974,22247,2591,0.116465141,19656,0.883534859,23407,1189,0.05079677
G10013,2014-2018,10013,28709,15961,0.555958062,1260,0.043888676,62,0,62,0.002159602,9558,0.332926957,626,1242,1868,0.065066704,28709,1728,0.060190184,15346,971,0.063273817,6955,0.453212564,517,0.033689561,34,0.002215561,439,0.028606803,4797,0.3125896,149,0.009709371,1484,0.096702724,21481,4519,0.210371957,1776,0.082677715,1959,0.091196872,7800,0.363111587,5427,0.25264187,0.615753457,105442,11986,1918,0.160020023,8848,1777,0.200836347,1769,0.199932188,1287,0.1454566,1182,0.133589512,567,0.064082278,2002,0.226265823,28709,24241,0.844369362,4468,0.155630638,26855,3093,0.115174083,23762,0.884825917,27981,1415,0.05057003
G10014,2014-2018,10014,30738,27314,0.888606936,336,0.010931095,25,0,25,0.000813326,1766,0.057453315,421,876,1297,0.042195328,30738,2047,0.066595094,20338,1373,0.067509096,10796,0.53082899,755,0.037122628,56,0.002753466,863,0.042432884,4229,0.207935884,136,0.00668699,2130,0.104730062,26633,283,0.010625915,1396,0.052416175,2461,0.09240416,12014,0.451094507,10479,0.393459242,0.844553749,126601,18229,712,0.039058643,12316,1717,0.139412147,3144,0.255277688,2323,0.188616434,1547,0.125608964,942,0.076485872,2299,0.186667749,30738,27649,0.899505498,3089,0.100494502,30361,1928,0.06350252,28433,0.93649748,30680,1077,0.035104302
G10016,2014-2018,10016,51057,36727,0.719333294,1929,0.037781303,66,19,85,0.001664806,9858,0.193078324,774,1684,2458,0.048142272,51057,3543,0.069393031,34235,1520,0.044399007,13710,0.400467358,1028,0.030027749,0,0,272,0.007945085,15277,0.446239229,398,0.011625529,2030,0.059296042,41216,1614,0.03915955,2034,0.049349767,4403,0.106827446,17917,0.434709821,15248,0.369953416,0.804663238,117004,28916,1439,0.049764836,20597,2130,0.103413118,4202,0.204010293,4317,0.20959363,3053,0.14822547,1638,0.079526145,4326,0.210030587,51057,44349,0.868617428,6708,0.131382572,49821,4816,0.096666065,45005,0.903333935,50844,1763,0.034674691
G10017,2014-2018,10017,15801,11683,0.739383583,370,0.023416239,0,0,0,0,3352,0.212138472,81,315,396,0.025061705,15801,932,0.058983609,10930,697,0.063769442,4243,0.388197621,195,0.017840805,0,0,81,0.007410796,4754,0.43494968,70,0.006404392,890,0.081427264,13615,420,0.030848329,575,0.042232831,1401,0.102901212,6249,0.458979067,4970,0.36503856,0.824017628,127506,9905,228,0.023018677,5585,449,0.080393912,1379,0.24691137,1277,0.228648165,710,0.127126231,457,0.081826321,1263,0.22614145,15801,13371,0.846212265,2430,0.153787735,15801,975,0.061704955,14826,0.938295045,15801,611,0.038668439
G10018,2014-2018,10018,9687,5791,0.5978115,466,0.048105709,1,0,1,0.000103231,2897,0.299060597,182,350,532,0.054918964,9687,1471,0.151852999,6546,165,0.025206233,2948,0.45035136,191,0.029178124,4,0.00061106,52,0.007943782,2813,0.429728078,35,0.005346777,338,0.051634586,8150,720,0.088343558,746,0.091533742,1062,0.130306748,2885,0.35398773,2737,0.335828221,0.689815951,108914,5095,296,0.058096173,4633,397,0.085689618,1188,0.256421325,967,0.208720052,536,0.115691776,360,0.077703432,971,0.209583423,9687,7148,0.737896149,2539,0.262103851,9636,1490,0.154628477,8146,0.845371523,9680,581,0.060020661
G10019,2014-2018,10019,43703,29663,0.67874059,2553,0.058417042,362,74,436,0.009976432,7596,0.173809578,1966,1489,3455,0.079056358,43703,7328,0.167677276,28653,1781,0.06215754,12865,0.448993125,705,0.024604753,0,0,682,0.023802045,10313,0.359927407,189,0.006596168,2118,0.073918961,37458,1726,0.046078274,3513,0.093785039,5088,0.135832132,13819,0.368919857,13312,0.355384698,0.724304554,98833,25428,2355,0.092614441,20364,2312,0.113533687,4668,0.229228049,4417,0.216902377,2272,0.111569436,1627,0.079895895,4131,0.202857985,43703,36549,0.836304144,7154,0.163695856,43543,5342,0.122683325,38201,0.877316675,43641,1951,0.044705667
G10021,2014-2018,10021,46215,38017,0.822611706,420,0.009087958,158,40,198,0.004284323,4333,0.093757438,2069,1178,3247,0.070258574,46215,3664,0.079281619,25695,3415,0.132905234,11493,0.447285464,1523,0.059272232,0,0,426,0.016579101,6710,0.2611403,361,0.014049426,1767,0.068768243,37453,359,0.009585347,2216,0.05916749,4644,0.123995408,14573,0.389101007,15661,0.418150749,0.807251756,118289,24996,502,0.020083213,13744,1282,0.093277066,3456,0.25145518,2826,0.205616997,2045,0.1487922,1083,0.078798021,2496,0.181606519,46215,41413,0.896094342,4802,0.103905658,45697,2185,0.047814955,43512,0.952185045,45860,1902,0.041474051
